program_id;university;program_name;full_description;subjects;min_scores;program_type;specialization_focus;city;study_duration;degree_level
75;СПбГУ;Филология;Зарубежная филология, западноевропейские литературы, сравнительное литературоведение. Изучают европейские литературы, теорию литературы, межкультурную коммуникацию, историю зарубежной литературы. Карьера в переводе, культурных центрах, дипломатии, издательском деле, преподавании;русский,литература,иностранный язык;83,87,81;Гуманитарное;Зарубежная филология;Санкт-Петербург;4;Бакалавриат
76;КФУ;Филология;Тюркская филология, языки тюркских народов, востоковедение, татарский язык и литература. Изучают татарский, турецкий, казахский языки, литературу тюркских народов, историю тюркских языков. Выпускники работают в научных центрах, образовании, культурных организациях, переводе;русский,литература,иностранный язык;80,84,78;Гуманитарное;Тюркская филология;Казань;4;Бакалавриат
77;МГУ;Социология;Теоретическая социология, социальные теории, методология исследований, история социологии. Изучают классические и современные социологические теории, методы сбора данных, анализ социальных процессов. Карьера в академических исследованиях, аналитических центрах, государственных органах, маркетинге;обществознание,русский,история;82,84,80;Гуманитарное;Теоретическая социология;Москва;4;Бакалавриат
78;НИУ ВШЭ;Социология;Прикладная социология, маркетинговые исследования, опросы общественного мнения, количественные методы. Изучают количественные и качественные методы, статистический анализ, работу с большими данными, социологию организаций. Выпускники работают в исследовательских агентствах (ВЦИОМ, ФОМ), маркетинге, HR;обществознание,русский,математика;81,83,79;Гуманитарное;Прикладная социология;Москва;4;Бакалавриат
79;МГУ;Философия;История философии, античная философия, философия нового времени, метафизика. Изучают философские системы от античности до современности, логику, этику, онтологию, гносеологию. Карьера в академической науке, преподавании, публицистике, аналитических центрах;обществознание,русский,история;83,85,81;Гуманитарное;История философии;Москва;4;Бакалавриат
80;НИУ ВШЭ;Философия;Политическая философия, социальная философия, философия права, этика. Изучают теории справедливости, политические идеологии, философские основы права, социальную философию. Выпускники работают в аналитических центрах, политическом консалтинге, государственных органах, СМИ;обществознание,русский,история;82,84,80;Гуманитарное;Политическая философия;Москва;4;Бакалавриат
81;МГУ;Политология;Теория политики, политические системы, сравнительная политология, государственное управление. Изучают государственное устройство, политические режимы, избирательные системы, политические процессы. Карьера в аналитических центрах, государственных органах, СМИ, политических партиях;обществознание,русский,история;83,85,81;Гуманитарное;Теория политики;Москва;4;Бакалавриат
82;МГИМО;Политология;Мировая политика, международные отношения, геополитика, внешняя политика. Изучают внешнюю политику государств, международные конфликты, глобальные процессы, дипломатию. Выпускники работают в МИД, международных организациях, аналитических центрах, транснациональных корпорациях;обществознание,русский,история;85,87,83;Гуманитарное;Мировая политика;Москва;4;Бакалавриат
83;МГУ;Культурология;Теория культуры, история мировой культуры, культурная антропология, семиотика культуры. Изучают культурные процессы, традиции, современную культуру, массовую культуру, методы анализа культуры. Карьера в культурных центрах, музеях, издательствах, СМИ, event-индустрии;обществознание,русский,история;81,83,79;Гуманитарное;Теория культуры;Москва;4;Бакалавриат
84;РГГУ;Культурология;Визуальная культура, медиакультура, digital humanities, исследования новых медиа. Изучают визуальные искусства, кино, фотографию, цифровую культуру, медиатеории. Выпускники работают в медиа, дизайне, культурных проектах, digital-агентствах, музеях;обществознание,русский,литература;80,82,78;Гуманитарное;Визуальная культура;Москва;4;Бакалавриат
85;МГУ;Искусствоведение;История изобразительного искусства, живопись, скульптура, графика, теория искусства. Изучают историю искусства от древности до современности, методы атрибуции, искусствоведческий анализ, музейное дело. Карьера в музеях, галереях, аукционных домах, антикварных салонах, экспертных организациях;литература,русский,история;83,85,81;Гуманитарное;История искусства;Москва;4;Бакалавриат
86;СПбГУ;Искусствоведение;История архитектуры, градостроительство, сохранение наследия, реставрация. Изучают архитектурные стили, историю городов, реставрацию памятников, архитектурную графику. Выпускники работают в архитектурных бюро, реставрационных организациях, музеях, градозащитных движениях;литература,русский,история;82,84,80;Гуманитарное;История архитектуры;Санкт-Петербург;4;Бакалавриат
87;МГУ;География;Физическая география, ландшафтоведение, климатология, геоморфология, биогеография. Изучают рельеф, климат, почвы, растительность, географическую зональность, ландшафтные системы. Выпускники работают в заповедниках, природоохранных организациях, Росгидромете, научных институтах;география,русский,математика;81,79,83;Science;Физическая география;Москва;4;Бакалавриат
88;МГУ;География;Экономическая география, размещение производства, региональная экономика, геоурбанистика. Изучают территориальную организацию общества, урбанизацию, геополитику, мировое хозяйство, региональное развитие. Карьера в аналитических центрах, администрациях, консалтинге, девелоперских компаниях;география,русский,обществознание;80,78,82;Science;Экономическая география;Москва;4;Бакалавриат
89;МГУ;Геология;Общая геология, минералогия, петрография, литология, структурная геология. Изучают строение Земли, минералы, горные породы, геологические процессы, геологическое картирование. Карьера в геологических экспедициях, научных институтах, горнодобывающих компаниях, нефтегазовых компаниях;география,русский,математика;82,80,84;Science;Общая геология;Москва;4;Бакалавриат
90;СПбГУ;Геология;Нефтяная геология, поиск и разведка месторождений углеводородов, сейсморазведка. Изучают геологию нефти и газа, сейсморазведку, моделирование залежей, промысловую геологию. Выпускники работают в нефтегазовых компаниях, сервисных геологических фирмах, научно-исследовательских институтах;география,русский,математика;81,79,83;Science;Нефтяная геология;Санкт-Петербург;4;Бакалавриат
91;МГУ;Почвоведение;Генезис и география почв, почвенная картография, плодородие почв, мелиорация. Изучают образование почв, их классификацию, плодородие, эрозию, охрану почв. Карьера в сельскохозяйственных институтах, экологических организациях, землеустройстве, научных станциях;география,русский,химия;80,78,82;Science;Почвоведение;Москва;4;Бакалавриат
92;МГУ;Гидрометеорология;Метеорология, климатология, гидрология суши, синоптическая метеорология. Изучают атмосферные процессы, прогноз погоды, водные ресурсы, изменение климата, агрометеорологию. Выпускники работают в Росгидромете, авиации, экологических службах, сельском хозяйстве, страховых компаниях;география,русский,математика;81,79,83;Science;Гидрометеорология;Москва;4;Бакалавриат
93;МГУ;Океанология;Физика океана, морские течения, взаимодействие океана и атмосферы, морская гидрология. Изучают свойства морской воды, волны, приливы, климатическую роль океана, океанографические приборы. Карьера в океанологических институтах, на исследовательских судах, в рыболовстве, морской геологии;география,русский,математика;82,80,84;Science;Океанология;Москва;4;Бакалавриат
94;СПбГУ;Астрономия;Радиоастрономия, наблюдения в радиодиапазоне, пульсары, квазары, межзвездная среда. Изучают радиоизлучение небесных тел, работу радиотелескопов, обработку радиоастрономических данных, астрофизику. Карьера в радиоастрономических обсерваториях, научных институтах, космических агентствах;математика,русский,физика;84,77,86;Science;Радиоастрономия;Санкт-Петербург;4;Бакалавриат
95;МГУ;Математика;Фундаментальная математика, алгебра, геометрия, топология, математический анализ. Изучают абстрактные математические структуры, доказательства теорем, математическую логику, теорию множеств. Карьера в академической науке, преподавании, исследовательских центрах, IT-компаниях;математика,русский,физика;88,76,87;Science;Фундаментальная математика;Москва;4;Бакалавриат
96;НИУ ВШЭ;Математика;Прикладная математика, математическое моделирование, вычислительная математика, оптимизация. Изучают численные методы, дифференциальные уравнения, теорию вероятностей, методы оптимизации, математическую статистику. Выпускники работают в IT, финансах, инженерии, аналитических центрах;математика,русский,информатика;86,78,85;Science;Прикладная математика;Москва;4;Бакалавриат
97;СПбГУ;Математика;Математический анализ, теория функций, функциональный анализ, комплексный анализ. Изучают пределы, производные, интегралы, ряды, метрические пространства, теорию меры. Карьера в научных исследованиях, преподавании, аналитических отделах банков и IT-компаний;математика,русский,физика;87,77,86;Science;Математический анализ;Санкт-Петербург;4;Бакалавриат
98;НГУ;Математика;Дискретная математика, теория графов, комбинаторика, криптография, математическая логика. Изучают конечные структуры, алгоритмы на графах, коды, шифрование, логические исчисления. Выпускники работают в computer science, телекоме, информационной безопасности, разработке алгоритмов;математика,русский,информатика;85,75,84;Science;Дискретная математика;Новосибирск;4;Бакалавриат
99;МГУ;Информационная безопасность;Криптографические методы защиты информации, шифрование, стеганография, криптоанализ. Изучают алгоритмы шифрования, криптоанализ, протоколы безопасности, математические основы криптографии. Карьера в спецслужбах, банках, IT-компаниях, государственных органах;математика,русский,информатика;86,78,87;IT;Криптография;Москва;4;Бакалавриат
100;ИТМО;Информационная безопасность;Защита веб-приложений, анализ уязвимостей, bug bounty, безопасность облачных сервисов. Изучают OWASP Top 10, методы взлома сайтов, безопасность API, облачные технологии, DevSecOps. Выпускники работают в пентестинговых компаниях, банках, IT-гигантах, на фрилансе;математика,русский,информатика;83,75,84;IT;Web Application Security;Санкт-Петербург;4;Бакалавриат
101;МГУ;Управление персоналом;Теория управления персоналом, организационное поведение, кадровый менеджмент, трудовое право. Изучают HR-стратегии, оценку персонала, мотивацию, компенсации и льготы, управление талантами. Карьера в HR-отделах крупных компаний, кадровых агентствах, консалтинге;обществознание,русский,история;80,82,78;Гуманитарное;Управление персоналом;Москва;4;Бакалавриат
102;РАНХиГС;Управление персоналом;Государственная служба и управление персоналом в госорганах, кадровая работа в министерствах. Изучают особенности госслужбы, кадровую работу в государственных органах, административные регламенты, государственное управление. Карьера в государственных органах, муниципалитетах, государственных корпорациях;обществознание,русский,история;79,81,77;Гуманитарное;Госслужба;Москва;4;Бакалавриат
103;МГУ;Государственное и муниципальное управление;Теория государственного управления, публичная администрация, государственная политика. Изучают системы государственного управления, государственную политику, административные процессы, государственные финансы. Карьера в государственных органах, аналитических центрах, международных организациях, политическом консалтинге;обществознание,русский,история;82,84,80;Гуманитарное;Государственное управление;Москва;4;Бакалавриат
104;НИУ ВШЭ;Государственное и муниципальное управление;Цифровое государственное управление, e-government, GovTech, открытые данные. Изучают цифровые платформы госуслуг, открытые данные, цифровизацию государственных услуг, государственные IT-проекты. Выпускники работают в Минцифры, IT-компаниях, работающих с госсектором, аналитических центрах;обществознание,русский,информатика;81,83,79;Гуманитарное;Цифровое госуправление;Москва;4;Бакалавриат
105;РАНХиГС;Государственное и муниципальное управление;Муниципальное управление, местное самоуправление, развитие территорий, городское управление. Изучают управление городами и районами, местные бюджеты, взаимодействие с населением, муниципальные услуги. Карьера в администрациях городов, муниципалитетах, девелоперских компаниях, общественных организациях;обществознание,русский,история;80,82,78;Гуманитарное;Муниципальное управление;Москва;4;Бакалавриат
106;МГУ;Бизнес-информатика;Управление IT-проектами, архитектура предприятия, бизнес-анализ, IT-стратегии. Изучают управление разработкой ПО, бизнес-процессы, ERP-системы, управление IT-инфраструктурой. Карьера в IT-консалтинге, продуктовом менеджменте, цифровой трансформации, системном анализе;математика,русский,информатика;84,78,83;IT;IT-менеджмент;Москва;4;Бакалавриат
107;НИУ ВШЭ;Бизнес-информатика;Анализ данных для бизнеса, BI-системы, data-driven решения, бизнес-аналитика. Изучают системы бизнес-аналитики, визуализацию данных, машинное обучение для бизнеса, аналитические платформы. Выпускники работают бизнес-аналитиками, BI-специалистами, data product менеджерами, аналитиками данных;математика,русский,информатика;83,77,82;IT;Бизнес-аналитика;Москва;4;Бакалавриат
108;СПбГУ;Бизнес-информатика;Цифровая экономика, электронный бизнес, цифровые платформы, e-commerce. Изучают e-commerce, digital-маркетинг, платформенные бизнес-модели, онлайн-торговлю, цифровые продукты. Карьера в интернет-магазинах, маркетплейсах, digital-агентствах, IT-продуктах;математика,русский,информатика;82,76,81;IT;Цифровая экономика;Санкт-Петербург;4;Бакалавриат
109;МГУ;Менеджмент;Стратегический менеджмент, управление компаниями, корпоративное управление, управление изменениями. Изучают стратегический анализ, конкурентные преимущества, корпоративные стратегии, слияния и поглощения. Карьера в топ-менеджменте, консалтинге, инвестиционных фондах, корпорациях;математика,русский,обществознание;83,81,82;Экономика;Стратегический менеджмент;Москва;4;Бакалавриат
110;НИУ ВШЭ;Менеджмент;Инновационный менеджмент, управление стартапами, венчурные инвестиции, продуктовый менеджмент. Изучают создание инновационных продуктов, привлечение инвестиций, масштабирование бизнеса, продуктовую разработку. Выпускники создают стартапы, работают в венчурных фондах, IT-компаниях, инновационных центрах;математика,русский,обществознание;82,80,81;Экономика;Инновационный менеджмент;Москва;4;Бакалавриат
111;СПбГУ;Менеджмент;Управление проектами, PMI стандарты, agile методологии, управление программами. Изучают планирование проектов, управление рисками, бюджетирование, командообразование, waterfall и agile подходы. Карьера project manager, scrum master, program manager в IT, строительстве, производстве;математика,русский,обществознание;81,79,80;Экономика;Управление проектами;Санкт-Петербург;4;Бакалавриат
112;МГУ;Маркетинг;Теория маркетинга, поведение потребителей, бренд-менеджмент, маркетинговые исследования. Изучают маркетинговые исследования, позиционирование, управление брендами, маркетинговые коммуникации, ценообразование. Карьера в маркетинговых отделах компаний, рекламных агентствах, консалтинге;математика,русский,обществознание;82,80,81;Экономика;Маркетинг;Москва;4;Бакалавриат
113;НИУ ВШЭ;Маркетинг;Цифровой маркетинг, интернет-маркетинг, SMM, контент-маркетинг, performance marketing. Изучают SEO, таргетированную рекламу, аналитику веб-сайтов, email-маркетинг, маркетинг в социальных сетях. Выпускники работают в digital-агентствах, IT-компаниях, на фрилансе, в e-commerce;математика,русский,информатика;81,79,80;Экономика;Цифровой маркетинг;Москва;4;Бакалавриат
114;СПбГУ;Маркетинг;Маркетинговые исследования, анализ рынка, количественные и качественные методы, прогнозирование спроса. Изучают проведение опросов, фокус-групп, анализ конкурентов, рыночные тенденции, статистические методы в маркетинге. Карьера в исследовательских агентствах, аналитических отделах, консалтинге;математика,русский,обществознание;80,78,79;Экономика;Маркетинговые исследования;Санкт-Петербург;4;Бакалавриат
115;МГУ;Финансы и кредит;Корпоративные финансы, управление капиталом, инвестиции, финансовый анализ компаний. Изучают финансовый анализ компаний, оценку активов, дивидендную политику, слияния и поглощения, финансовое планирование. Карьера финансовых директоров, инвестиционных аналитиков, в консалтинге, банках;математика,русский,обществознание;84,82,83;Экономика;Корпоративные финансы;Москва;4;Бакалавриат
116;НИУ ВШЭ;Финансы и кредит;Рынки капитала, инвестиционный банкинг, трейдинг, портфельные инвестиции. Изучают ценные бумаги, деривативы, портфельные инвестиции, финансовые рынки, инвестиционный анализ. Выпускники работают в инвестиционных банках, брокерских компаниях, хедж-фондах, управляющих компаниях;математика,русский,обществознание;83,81,82;Экономика;Инвестиционный банкинг;Москва;4;Бакалавриат
117;СПбГУ;Финансы и кредит;Банковское дело, кредитование, риск-менеджмент в банках, банковские операции. Изучают банковские операции, оценку кредитоспособности, управление банковскими рисками, банковское регулирование, платежные системы. Карьера в коммерческих банках, ЦБ, финансовых учреждениях, финтех-компаниях;математика,русский,обществознание;82,80,81;Экономика;Банковское дело;Санкт-Петербург;4;Бакалавриат
118;РЭУ им. Плеханова;Финансы и кредит;Личные финансы, финансовое планирование, страхование, инвестиции для частных лиц. Изучают управление личными финансами, инвестиции для частных лиц, пенсионное планирование, страховые продукты, налоговое планирование. Выпускники работают финансовыми советниками, в страховых компаниях, банках, управляющих компаниях;математика,русский,обществознание;80,78,79;Экономика;Личные финансы;Москва;4;Бакалавриат
119;МГУ;Бухгалтерский учет, анализ и аудит;Финансовый учет, отчетность, МСФО, консолидация отчетности. Изучают составление финансовой отчетности, учет активов и обязательств, консолидацию отчетности, аудит. Карьера главных бухгалтеров, финансовых контролеров, аудиторов, финансовых аналитиков;математика,русский,обществознание;81,79,80;Экономика;Бухгалтерский учет;Москва;4;Бакалавриат
120;НИУ ВШЭ;Бухгалтерский учет, анализ и аудит;Управленческий учет, бюджетирование, cost accounting, KPI, управленческая отчетность. Изучают учет для принятия управленческих решений, калькуляцию себестоимости, бюджетирование, управленческий контроль. Выпускники работают управленческими бухгалтерами, финансовыми аналитиками, контролерами, в консалтинге;математика,русский,обществознание;80,78,79;Экономика;Управленческий учет;Москва;4;Бакалавриат
121;РЭУ им. Плеханова;Бухгалтерский учет, анализ и аудит;Налоговый учет, налоговое планирование, налоговый консалтинг, налоговые проверки. Изучают налоговое законодательство, оптимизацию налогов, налоговую отчетность, налоговые споры, международное налогообложение. Карьера налоговых консультантов, в налоговых органах, юридических фирмах, компаниях;математика,русский,обществознание;79,77,78;Экономика;Налоговый учет;Москва;4;Бакалавриат
122;МГУ;Мировая экономика;Международная торговля, внешнеэкономическая деятельность, таможенное регулирование, логистика. Изучают международную торговую политику, таможенное регулирование, логистику, валютные операции, международные контракты. Карьера в международных компаниях, внешнеторговых фирмах, государственных органах, логистических компаниях;математика,русский,иностранный язык;83,81,84;Экономика;Международная торговля;Москва;4;Бакалавриат
123;НИУ ВШЭ;Мировая экономика;Международные финансы, валютные рынки, глобальные инвестиции, суверенные фонды. Изучают международные капитальные потоки, валютные курсы, финансирование международных проектов, мировые финансовые рынки. Выпускники работают в международных банках, инвестиционных фондах, транснациональных корпорациях, ЦБ;математика,русский,иностранный язык;82,80,83;Экономика;Международные финансы;Москва;4;Бакалавриат
124;МГИМО;Мировая экономика;Экономика зарубежных стран, региональная экономика мира, экономическая дипломатия. Изучают экономические системы разных стран, особенности развития регионов мира, экономическую географию, международные экономические организации. Карьера в компаниях, работающих на международных рынках, аналитических центрах, дипломатических миссиях;математика,русский,иностранный язык;84,82,85;Экономика;Экономика зарубежных стран;Москва;4;Бакалавриат
125;МГУ;Торговое дело;Розничная торговля, мерчандайзинг, управление магазинами, розничные сети. Изучают организацию торговых пространств, управление ассортиментом, логистику в ритейле, поведение покупателей, мерчандайзинг. Карьера в розничных сетях, торговых компаниях, e-commerce, FMCG компаниях;математика,русский,обществознание;80,78,79;Экономика;Розничная торговля;Москва;4;Бакалавриат
126;РЭУ им. Плеханова;Торговое дело;Оптовая торговля, дистрибуция, управление каналами сбыта, b2b продажи. Изучают организацию поставок, управление дистрибьюторской сетью, складскую логистику, ценообразование, управление запасами. Выпускники работают в дистрибьюторских компаниях, на производстве, в логистике, продажах;математика,русский,обществознание;79,77,78;Экономика;Оптовая торговля;Москва;4;Бакалавриат
127;МГУ;Товароведение;Экспертиза товаров, качество, стандартизация, сертификация, защита прав потребителей. Изучают методы оценки качества товаров, товарную номенклатуру, технические регламенты, стандарты, экспертизу товаров. Карьера в службах качества, таможне, экспертных организациях, Роспотребнадзоре, retail;химия,русский,обществознание;79,77,78;Экономика;Товароведение;Москва;4;Бакалавриат
128;РЭУ им. Плеханова;Товароведение;Товароведение продовольственных товаров, пищевые технологии, безопасность продуктов, хранение. Изучают состав пищевых продуктов, технологию производства, хранение, фальсификацию, пищевую безопасность. Выпускники работают в пищевой промышленности, Роспотребнадзоре, retail, ресторанном бизнесе;химия,русский,биология;78,76,77;Экономика;Продовольственные товары;Москва;4;Бакалавриат
129;МГУ;Логистика;Теория логистики, управление цепями поставок, транспортная логистика, складское хозяйство. Изучают оптимизацию логистических процессов, транспортные системы, складское хозяйство, логистические издержки, управление запасами. Карьера логистов, supply chain менеджеров, в транспортных компаниях, производстве;математика,русский,география;81,79,80;Экономика;Логистика;Москва;4;Бакалавриат
130;НИУ ВШЭ;Логистика;Цифровая логистика, логистика 4.0, supply chain analytics, цифровые платформы в логистике. Изучают цифровые технологии в логистике, аналитику цепей поставок, IoT в логистике, блокчейн в логистике, автоматизацию складов. Выпускники работают в логистических IT-компаниях, e-commerce, аналитических отделах логистических компаний;математика,русский,информатика;80,78,79;Экономика;Цифровая логистика;Москва;4;Бакалавриат
131;МГУ;Туризм;Теория туризма, туристское регионоведение, организация туристской деятельности, туристские ресурсы. Изучают географию туризма, организацию туров, туристское законодательство, маркетинг в туризме, управление туристскими предприятиями. Карьера в туроператорских компаниях, турагентствах, отелях, туристских администрациях;география,русский,обществознание;78,80,77;Экономика;Туризм;Москва;4;Бакалавриат
132;РГГУ;Туризм;Культурный туризм, экскурсоведение, музейный туризм, event-менеджмент в туризме. Изучают культурное наследие, методику проведения экскурсий, музейное дело, организацию событийного туризма. Выпускники работают экскурсоводами, в музеях, event-агентствах, культурных центрах, туристских компаниях;история,русский,обществознание;77,79,76;Экономика;Культурный туризм;Москва;4;Бакалавриат
133;СПбГУ;Туризм;Спортивный туризм, adventure tourism, активный отдых, организация спортивных мероприятий. Изучают организацию спортивных туров, безопасность в туризме, outdoor activities, спортивное снаряжение, маршруты. Карьера в спортивных туроператорах, базах отдыха, туристских клубах, event-агентствах спортивных мероприятий;география,русский,обществознание;76,78,75;Экономика;Спортивный туризм;Санкт-Петербург;4;Бакалавриат
134;Сочинский государственный университет;Туризм;Курортный менеджмент, spa & wellness, гостиничное дело на курортах, оздоровительный туризм. Изучают управление курортами, wellness-технологии, гостиничный бизнес, оздоровительные программы, курортную инфраструктуру. Выпускники работают в отелях, санаториях, spa-центрах, курортных администрациях;география,русский,обществознание;75,77,74;Экономика;Курортный менеджмент;Сочи;4;Бакалавриат
135;МГУ;Гостиничное дело;Управление отелями, гостиничный менеджмент, сервис в гостиничном бизнесе, revenue management. Изучают управление гостиничными предприятиями, сервисные стандарты, управление доходами, бронирование, front office и back office. Карьера в отелях, гостиничных сетях, управляющих компаниях, туризме;русский,иностранный язык,обществознание;78,80,77;Экономика;Гостиничный менеджмент;Москва;4;Бакалавриат
136;РГГУ;Гостиничное дело;Исторические отели, boutique hotels, управление наследием в гостиничном бизнесе. Изучают управление историческими отелями, реставрацию гостиничных зданий, создание атмосферы, niche hospitality. Выпускники работают в бутик-отелях, исторических гостиницах, дизайн-отелях, hospitality консалтинге;история,русский,иностранный язык;77,79,76;Экономика;Бутик-отели;Москва;4;Бакалавриат
